Team,Games,FG%,FG%_rank,FT%,FT%_rank,3P,3P_rank,PTS,PTS_rank,REB,REB_rank,AST,AST_rank,STL,STL_rank,BLK,BLK_rank,TOV,TOV_rank,rank,week
Trust the Process,41,.497,9,.742,2,44,1,518,3,225,5,124,5,34,4.5,25,7,71,9,5.06,6
The Big Fundamental,35,.476,5,.853,10,59,5,590,4.5,186,4,108,3,25,1,15,1.5,69,11,5.0,6
The Burger Kings,42,.443,2,.756,4,49,2,476,1,232,7,121,4,43,10.5,21,5,84,5,4.5,6
Mello!,47,.497,11,.774,5.5,64,4,746,10,267,10,193,12,43,7.5,28,9.5,105,4,8.17,7
SenGOAT 2.0,49,.495,9,.842,10,74,8,862,12,240,7,173,8,43,7.5,24,6,110,2.5,7.78,7
The Big Fundamental,48,.478,4,.798,7,97,11.5,718,8,234,6,183,10.5,46,10,27,8,110,2.5,7.5,7
Otzma modi'in,47,.512,12,.708,2,73,7,663,4.5,294,12,138,5,42,6,35,12,79,7,7.5,7
The Burger Kings,43,.483,5,.826,9,76,10,595,1,247,8,93,1,48,11,25,7,78,8,6.67,7
Agami's Team H2H kp,40,.484,6,.774,5.5,52,2,768,11,270,11,180,9,33,3,32,11,114,1,6.61,7
Floki's monsters,48,.496,10,.707,1,75,9,730,9,217,4,183,10.5,35,4.5,18,2,80,6,6.22,7
Ariel's Amazing Team,39,.490,7,.850,11.5,72,6,713,7,191,2,107,2,31,1.5,23,5,51,12,6.0,7
The Black Bamba,44,.460,3,.769,4,60,3,654,3,218,5,147,6,44,9,28,9.5,71,10,5.83,7
Three & D 🏀🏀,41,.458,2,.803,8,97,11.5,679,6,193,3,119,3,35,4.5,22,3.5,73,9,5.61,7
Trust the Process,42,.493,8,.712,3,42,1,663,4.5,261,9,135,4,51,12,16,1,91,5,5.28,7
SqueeZee's Boys,48,.444,1,.850,11.5,69,5,638,2,189,1,154,7,31,1.5,22,3.5,69,11,4.83,7
The Burger Kings,42,.502,10,.852,11,90,11.5,672,6,250,10,147,6,49,11,26,9,80,7,9.06,8
Mello!,46,.498,8,.769,4,90,11.5,820,12,240,7.5,164,11,38,6,30,10.5,95,5,8.39,8
Floki's monsters,40,.492,7,.855,12,70,7.5,680,7,211,5,153,9,45,10,20,6,75,9,8.06,8
Trust the Process,45,.507,11.5,.759,2,64,6,729,8,284,12,151,8,51,12,17,4,81,6,7.72,8
SqueeZee's Boys,46,.455,6,.850,10,83,9,753,10,210,4,184,12,41,9,13,1.5,97,4,7.28,8
Agami's Team H2H kp,46,.507,11.5,.766,3,59,4.5,757,11,240,7.5,149,7,38,6,33,12,110,1,7.06,8
Otzma modi'in,45,.501,9,.724,1,51,1,541,2,246,9,109,2,35,3,30,10.5,62,11,5.39,8
SenGOAT 2.0,41,.451,4,.826,7,53,2,657,5,231,6,157,10,36,4,24,8,102,2,5.33,8
The Big Fundamental,49,.445,2,.801,5,70,7.5,741,9,256,11,144,5,28,2,16,3,100,3,5.28,8
